,title,subtitle,link
0,FROWN JULES,Barcelona CONFIRM Kounde after ruthlessly hijacking Chelsea's move for defender,https://www.thesun.co.uk/sport/19352291/chelsea-barcelona-kounde-confirmed-transfer/
1,PREM 'RAPIST',Premier League international no longer being investigated for 1 of 3 'rapes',https://www.thesun.co.uk/sport/19355842/premier-league-international-rape-probe/
2,NOT MOVING RON,Ronaldo responds to Atletico banners telling Man Utd man he is 'not welcome',https://www.thesun.co.uk/sport/football/19356093/cristiano-ronaldo-atletico-madrid-banners-man-utd-transfer/
3,JULE IN THE CROWN,Jules Kounde explains Chelsea snub after finally signing for Barcelona,https://www.thesun.co.uk/sport/football/19356228/jules-kounde-barcelona-chelsea-transfer/
4,BANK BOOST,Goodwood Festival: Get £40 in FREE BETS from Paddy Power,https://www.thesun.co.uk/sport/horseracing/19307364/horse-racing-offer-goodwood-festival-free-bets-paddy-power/
5,WATCHING ROO,Rooney steps up security for Coleen & sons at £20m mansion after taking DC job,https://www.thesun.co.uk/sport/19349333/wayne-rooney-security-coleen-sons-mansion/
6,WIN GAP,England's Lionesses to pocket £55k each if they win Euros - but men would get £460k,https://www.thesun.co.uk/sport/19353116/england-lionesses-gender-pay-gap/
7,SPORTING CHANCE,Sporting 'begin Ronaldo loan talks' despite fears over Man Utd star,https://www.thesun.co.uk/sport/19355959/man-utd-transfer-news-ronaldo-sporting-loan/
8,NEIL CUSTIS,Ronaldo staring at exile - options are running out and he'll only drag Utd down,https://www.thesun.co.uk/sport/19354210/cristiano-ronaldo-man-utd-transfer-danger-exile/
9,ANDERTON SHOCK,Bristol Rovers star diagnosed with rare bone cancer and will undergo surgery,https://www.thesun.co.uk/sport/19352706/nick-anderton-rare-bone-cancer-bristol-rovers/
10,PIZZA HISTORY,Dominos honour Lucy Bronze by renaming branch she worked in after the Lioness,https://www.thesun.co.uk/sport/19353307/dominos-lucy-bronze-renamed/
11,BYE BAILLY,AC Milan join Bailly transfer race and ready to fight Mourinho for Man Utd man,https://www.thesun.co.uk/sport/football/19355944/ac-milan-eric-bailly-transfer-jose-mourinho-man-utd/
12,HAAL TO PLAY FOR,"'Scary' Haaland will be unstoppable in the Premier League, says Phil Foden",https://www.thesun.co.uk/sport/football/19354763/erling-haaland-premier-league-foden/
